,Player,Player Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,outrate,MRA,BRPI
0,DA Warner,(Sunrisers Hyderabad),12,12,2,692,100*,69.2,481,143.86,1,8,0,57,21,0.02079002079002079,0.75,29.5
3,S Dhawan,(Delhi Capitals),16,16,1,521,97*,34.73,384,135.67,0,5,1,64,11,0.0390625,0.3125,20.125
5,CH Gayle,(Kings XI Punjab),13,13,1,490,99*,40.83,319,153.6,0,4,0,45,34,0.03761755485893417,0.3076923076923077,29.53846153846154
13,CA Lynn,(Kolkata Knight Riders),13,13,0,405,82,31.15,290,139.65,0,4,2,41,22,0.04482758620689655,0.3076923076923077,22.76923076923077
14,RG Sharma,(Mumbai Indians),15,15,1,405,67,28.92,315,128.57,0,2,0,52,10,0.044444444444444446,0.13333333333333333,17.866666666666667
16,SR Watson,(Chennai Super Kings),17,17,0,398,96,23.41,312,127.56,0,3,3,42,20,0.05448717948717949,0.17647058823529413,16.941176470588236
18,AM Rahane,(Rajasthan Royals),14,13,1,393,105*,32.75,285,137.89,1,1,1,45,9,0.042105263157894736,0.15384615384615385,18.0
20,PA Patel,(Royal Challengers Bangalore),14,14,0,373,67,26.64,268,139.17,0,2,1,48,10,0.05223880597014925,0.14285714285714285,18.0
21,PP Shaw,(Delhi Capitals),16,16,0,353,99,22.06,264,133.71,0,2,1,45,9,0.06060606060606061,0.125,14.625
23,N Rana,(Kolkata Knight Riders),14,11,1,344,85*,34.4,235,146.38,0,3,1,27,21,0.0425531914893617,0.2727272727272727,21.272727272727273
28,Shubman Gill,(Kolkata Knight Riders),14,13,4,296,76,32.88,238,124.36,0,3,0,21,10,0.037815126050420166,0.23076923076923078,11.076923076923077
30,AT Rayudu,(Chennai Super Kings),17,17,5,282,57,23.5,303,93.06,0,1,2,20,7,0.039603960396039604,0.058823529411764705,7.176470588235294
4,AD Russell,(Kolkata Knight Riders),14,13,4,510,80*,56.66,249,204.81,0,4,1,31,52,0.03614457831325301,0.3076923076923077,33.53846153846154
7,V Kohli,(Royal Challengers Bangalore),14,14,0,464,100,33.14,328,141.46,1,2,0,46,13,0.042682926829268296,0.21428571428571427,18.714285714285715
8,SS Iyer,(Delhi Capitals),16,16,1,463,67,30.86,386,119.94,0,3,0,41,14,0.038860103626943004,0.1875,15.5
11,SA Yadav,(Mumbai Indians),16,15,2,424,71*,32.61,324,130.86,0,2,0,45,10,0.040123456790123455,0.13333333333333333,16.0
15,HH Pandya,(Mumbai Indians),16,15,6,402,91,44.66,210,191.42,0,1,1,28,29,0.04285714285714286,0.06666666666666667,19.066666666666666
17,F du Plessis,(Chennai Super Kings),12,12,1,396,96,36.0,321,123.36,0,3,0,36,15,0.03426791277258567,0.25,19.5
19,SK Raina,(Chennai Super Kings),17,17,1,383,59,23.93,314,121.97,0,3,1,45,9,0.050955414012738856,0.17647058823529413,13.764705882352942
22,MK Pandey,(Sunrisers Hyderabad),12,11,3,344,83*,43.0,263,130.79,0,3,0,34,6,0.030418250950570342,0.2727272727272727,15.636363636363637
25,MA Agarwal,(Kings XI Punjab),13,13,0,332,58,25.53,234,141.88,0,2,1,26,14,0.05555555555555555,0.15384615384615385,14.461538461538462
26,SPD Smith,(Rajasthan Royals),12,10,2,319,73*,39.87,275,116.0,0,3,0,30,4,0.02909090909090909,0.3,14.4
27,JC Buttler,(Rajasthan Royals),8,8,0,311,89,38.87,205,151.7,0,3,0,38,14,0.03902439024390244,0.375,29.5
29,RV Uthappa,(Kolkata Knight Riders),12,11,2,282,67*,31.33,245,115.1,0,1,1,28,10,0.036734693877551024,0.09090909090909091,15.636363636363637
31,KA Pollard,(Mumbai Indians),16,14,6,279,83,34.87,178,156.74,0,1,0,14,22,0.0449438202247191,0.07142857142857142,13.428571428571429
33,V Shankar,(Sunrisers Hyderabad),15,14,2,244,40*,20.33,193,126.42,0,0,0,11,12,0.06217616580310881,0.0,8.285714285714286
34,MM Ali,(Royal Challengers Bangalore),11,10,2,220,66,27.5,133,165.41,0,2,0,16,17,0.06015037593984962,0.2,16.6
35,DA Miller,(Kings XI Punjab),10,10,2,213,59*,26.62,164,129.87,0,1,0,19,7,0.04878048780487805,0.1,11.8
36,MP Stoinis,(Royal Challengers Bangalore),10,10,6,211,46*,52.75,156,135.25,0,0,2,14,10,0.02564102564102564,0.0,11.6
37,CA Ingram,(Delhi Capitals),12,12,2,184,47,18.4,154,119.48,0,0,0,20,5,0.06493506493506493,0.0,9.166666666666666
38,KH Pandya,(Mumbai Indians),16,15,4,183,42,16.63,150,122.0,0,0,1,18,5,0.07333333333333333,0.0,6.8
42,KM Jadhav,(Chennai Super Kings),14,12,3,162,58,18.0,169,95.85,0,1,1,19,3,0.05325443786982249,0.08333333333333333,7.833333333333333
44,KS Williamson,(Sunrisers Hyderabad),9,9,2,156,70*,22.28,130,120.0,0,1,0,12,5,0.05384615384615385,0.1111111111111111,8.666666666666666
47,BA Stokes,(Rajasthan Royals),9,9,3,123,46,20.5,99,124.24,0,0,1,8,4,0.06060606060606061,0.0,6.222222222222222
39,SN Khan,(Kings XI Punjab),8,5,1,180,67,45.0,143,125.87,0,1,0,19,4,0.027972027972027972,0.2,20.0
40,N Pooran,(Kings XI Punjab),7,6,0,168,48,28.0,107,157.0,0,0,0,9,14,0.056074766355140186,0.0,20.0
41,Mandeep Singh,(Kings XI Punjab),13,12,8,165,33*,41.25,120,137.5,0,0,1,10,4,0.03333333333333333,0.0,5.333333333333333
43,R Parag,(Rajasthan Royals),7,5,0,160,50,32.0,126,126.98,0,1,0,17,5,0.03968253968253968,0.2,19.6
45,SP Narine,(Kolkata Knight Riders),12,9,1,143,47,17.87,86,166.27,0,0,0,17,9,0.09302325581395349,0.0,13.555555555555555
46,RA Tripathi,(Rajasthan Royals),8,7,1,141,50,23.5,118,119.49,0,1,0,13,2,0.05084745762711865,0.14285714285714285,9.142857142857142
48,Mohammad Nabi,(Sunrisers Hyderabad),8,7,1,115,31,19.16,76,151.31,0,0,0,8,7,0.07894736842105263,0.0,10.571428571428571
49,AR Patel,(Delhi Capitals),14,12,6,110,26,18.33,88,125.0,0,0,1,10,3,0.06818181818181818,0.0,4.833333333333333
1,KL Rahul,(Kings XI Punjab),14,14,3,593,100*,53.9,438,135.38,1,6,0,49,25,0.02511415525114155,0.5,24.714285714285715
2,Q de Kock,(Mumbai Indians),16,16,1,529,81,35.26,398,132.91,0,4,1,45,25,0.03768844221105527,0.25,20.625
6,RR Pant,(Delhi Capitals),16,16,3,488,78*,37.53,300,162.66,0,3,0,37,27,0.043333333333333335,0.1875,19.375
9,JM Bairstow,(Sunrisers Hyderabad),10,10,2,445,114,55.62,283,157.24,1,2,1,48,18,0.028268551236749116,0.3,30.0
10,AB de Villiers,(Royal Challengers Bangalore),13,13,3,442,82*,44.2,287,154.0,0,5,0,31,26,0.03484320557491289,0.38461538461538464,21.53846153846154
12,MS Dhoni,(Chennai Super Kings),15,12,7,416,84*,83.2,309,134.62,0,3,0,22,23,0.016181229773462782,0.25,18.833333333333332
24,SV Samson,(Rajasthan Royals),12,12,2,342,102*,34.2,230,148.69,1,0,1,28,13,0.043478260869565216,0.08333333333333333,15.833333333333334
32,KD Karthik,(Kolkata Knight Riders),14,13,5,253,97*,31.62,173,146.24,0,2,0,22,14,0.046242774566473986,0.15384615384615385,13.23076923076923
